05-14-2021 20:49:36.550,-,SERIAL,"COM8 - 115200/8/N/1/N"
05-14-2021 20:45:58.378,9295,RECV,414142370D0A
05-14-2021 20:45:59.378,9296,RECV,414142370D0A
05-14-2021 20:46:00.377,9297,RECV,414142370D0A
05-14-2021 20:46:01.376,9298,RECV,414142370D0A
05-14-2021 20:46:02.380,9299,RECV,414142370D0A
05-14-2021 20:46:03.385,9300,RECV,414142370D0A
05-14-2021 20:46:04.327,9301,RECV,414142370D0A
05-14-2021 20:46:05.336,9302,RECV,414142370D0A
05-14-2021 20:46:06.336,9303,RECV,414142370D0A
05-14-2021 20:46:07.331,9304,RECV,414142370D0A
05-14-2021 20:46:08.392,9305,RECV,414142370D0A
05-14-2021 20:46:09.391,9306,RECV,414142370D0A
05-14-2021 20:46:10.391,9307,RECV,414142370D0A
05-14-2021 20:46:11.390,9308,RECV,414142370D0A
05-14-2021 20:46:12.394,9309,RECV,414142370D0A
05-14-2021 20:46:13.394,9310,RECV,414142370D0A
05-14-2021 20:46:14.393,9311,RECV,414142370D0A
05-14-2021 20:46:15.336,9312,RECV,414142370D0A
05-14-2021 20:46:16.400,9313,RECV,414142370D0A
05-14-2021 20:46:17.401,9314,RECV,414142370D0A
05-14-2021 20:46:18.342,9315,RECV,414142370D0A
05-14-2021 20:46:19.349,9316,RECV,414142370D0A
05-14-2021 20:46:20.350,9317,RECV,414142370D0A
05-14-2021 20:46:21.353,9318,RECV,414142370D0A
05-14-2021 20:46:22.351,9319,RECV,414142370D0A
05-14-2021 20:46:23.353,9320,RECV,414142370D0A
05-14-2021 20:46:24.354,9321,RECV,414142370D0A
05-14-2021 20:46:25.359,9322,RECV,414142370D0A
05-14-2021 20:46:26.363,9323,RECV,414142370D0A
05-14-2021 20:46:27.365,9324,RECV,414142370D0A
05-14-2021 20:46:28.369,9325,RECV,414142370D0A
05-14-2021 20:46:29.369,9326,RECV,414142370D0A
05-14-2021 20:46:30.373,9327,RECV,414142370D0A
05-14-2021 20:46:31.376,9328,RECV,414142370D0A
05-14-2021 20:46:32.378,9329,RECV,414142370D0A
05-14-2021 20:46:33.381,9330,RECV,414142370D0A
05-14-2021 20:46:34.385,9331,RECV,414142370D0A
05-14-2021 20:46:35.398,9332,RECV,414142370D0A
05-14-2021 20:46:36.400,9333,RECV,414142370D0A
05-14-2021 20:46:37.398,9334,RECV,414142370D0A
05-14-2021 20:46:38.400,9335,RECV,414142370D0A
05-14-2021 20:46:39.403,9336,RECV,414142370D0A
05-14-2021 20:46:40.403,9337,RECV,414142370D0A
05-14-2021 20:46:41.402,9338,RECV,414142370D0A
05-14-2021 20:46:42.401,9339,RECV,414142370D0A
05-14-2021 20:46:43.405,9340,RECV,414142370D0A
05-14-2021 20:46:44.404,9341,RECV,414142370D0A
05-14-2021 20:46:45.410,9342,RECV,414142370D0A
05-14-2021 20:46:46.411,9343,RECV,414142370D0A
05-14-2021 20:46:47.411,9344,RECV,414142370D0A
